question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
what's the penguin called in toy story,Wheezy,,,,,,,,,,,,,,,,,,,,,,
where did spencer from made in chelsea grow up,Nottinghamshire,Eden Rock in Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,
when did the iphone 6s come out in the us,"September 25, 2015",,,,,,,,,,,,,,,,,,,,,,
sumerian language as set down in written wedge-shaped character form is known as,Cuneiform or Sumerian cuneiform,Cuneiform,,,,,,,,,,,,,,,,,,,,,
what type of lava does nevado del ruiz have,andesitic–dacitic,,,,,,,,,,,,,,,,,,,,,,
how many copies of all quiet on the western front were sold,2.5 million,,,,,,,,,,,,,,,,,,,,,,
where is the 2019 super bowl going to be held,"Atlanta, Georgia",Mercedes-Benz Stadium,,,,,,,,,,,,,,,,,,,,,
how many generations of dodge trucks are there,The current fifth-generation,,,,,,,,,,,,,,,,,,,,,,
where were the first railroads built in america,"Lewiston, New York",,,,,,,,,,,,,,,,,,,,,,
who are the parents of the 50 nereids listed in the theogony,Nereus,Doris,,,,,,,,,,,,,,,,,,,,,
when does modern family season 10 come out,"September 26, 2018",,,,,,,,,,,,,,,,,,,,,,
what is the highest temperature recorded on earth,56.7 °C,134.1 °F,,,,,,,,,,,,,,,,,,,,,
what direction does the sun rise in the northern hemisphere,southeast,due east,,,,,,,,,,,,,,,,,,,,,
when did the national anthem begin in the nfl,after the year 2001,,,,,,,,,,,,,,,,,,,,,,
when and where first time railway was run in india,1837,,,,,,,,,,,,,,,,,,,,,,
when did india last win olympic gold medal in hockey,1980,,,,,,,,,,,,,,,,,,,,,,
who is the largest plant in the world,The conifer division of plants,General Sherman tree,,,,,,,,,,,,,,,,,,,,,
which death eater was not present to witness lord voldemort's rebirth,Evan Rosier,Severus Snape,Regulus Black,Wilkes,Barty Crouch Jr.,Igor Karkaroff,,,,,,,,,,,,,,,,,
when did a star is born start filming 2018,"April 17, 2017",April 2017,,,,,,,,,,,,,,,,,,,,,
who's going to host america's got talent 2019,Terry Crews,,,,,,,,,,,,,,,,,,,,,,
what is the order of 50 shades trilogy,Fifty Shades Darker,Fifty Shades of Grey,Fifty Shades Freed,,,,,,,,,,,,,,,,,,,,
who wrote the pledge of allegiance that we recite today,Francis Bellamy,Captain George Thatcher Balch,,,,,,,,,,,,,,,,,,,,,
who did the rams play in the super bowl in 2000,Tennessee Titans,,,,,,,,,,,,,,,,,,,,,,
what is the most popular surname in italy,Rossi,,,,,,,,,,,,,,,,,,,,,,
the first civilization arose in mesopotamia on the banks of which two rivers,Euphrates,Tigris,the Tigris,Euphrates Rivers,,,,,,,,,,,,,,,,,,,
when does the new season of snl air,"September 29, 2018",,,,,,,,,,,,,,,,,,,,,,
what type of healthcare system does mexico have,private physicians,private entities,universal healthcare,public institutions,,,,,,,,,,,,,,,,,,,
when is pokémon let's go pikachu coming out,"November 16, 2018",,,,,,,,,,,,,,,,,,,,,,
book of the dead weighing of the heart spell,Spell 125,,,,,,,,,,,,,,,,,,,,,,
who sang the song love is all i have to give,"Checkmates, Ltd.",,,,,,,,,,,,,,,,,,,,,,
when does episode 5 of season 5 of the flash come out,"November 13, 2018",,,,,,,,,,,,,,,,,,,,,,
who is the voice of meena on sing,Tori Kelly,,,,,,,,,,,,,,,,,,,,,,
when did the new style fiesta come out,"May 7, 2018",2013,2008,2017,,,,,,,,,,,,,,,,,,,
who gave the concept of reflexive role taking,Robert Selman,,,,,,,,,,,,,,,,,,,,,,
reading of an image in photoconductive camera is done with the help of,photodetectors,,,,,,,,,,,,,,,,,,,,,,
what cities does southwest fly to in north carolina,Raleigh-Durham,Charlotte,,,,,,,,,,,,,,,,,,,,,
who fought for women's right to vote in canada,Louise Crummy McKinney,Nellie McClung,Nellie Mooney McClung,Irene Marryat Parlby,Henrietta Muir Edwards,Emily Murphy,,,,,,,,,,,,,,,,,
how many seasons does sofia the first have,4,,,,,,,,,,,,,,,,,,,,,,
who wins season 1 of i love new york,Tango,Patrick Hunter,,,,,,,,,,,,,,,,,,,,,
who plays the little girl in the christmas chronicles,Darby Camp,,,,,,,,,,,,,,,,,,,,,,
who starred in the falcon and the snowman,Sean Penn,Timothy Hutton,,,,,,,,,,,,,,,,,,,,,
what is the name of first foreign recipient of bharat ratna,Khan Abdul Ghaffar Khan,Mother Teresa,,,,,,,,,,,,,,,,,,,,,
who plays the young george bailey in it's a wonderful life,Robert James Anderson,,,,,,,,,,,,,,,,,,,,,,
who played king george in the madness of king george,Nigel Hawthorne,,,,,,,,,,,,,,,,,,,,,,
where was the heat of the night filmed,"Sparta, Illinois",,,,,,,,,,,,,,,,,,,,,,
who did andrew scarborough play in downton abbey,Tim Drewe,,,,,,,,,,,,,,,,,,,,,,
in a white heron where was sylvia from,the city,,,,,,,,,,,,,,,,,,,,,,
list down the top five global cities in the world,Singapore,London,Paris,New York City,Tokyo,,,,,,,,,,,,,,,,,,
what number is the product of exactly three different prime numbers,30,a sphenic number,sphenic number,,,,,,,,,,,,,,,,,,,,
when does sequel to fantastic beasts come out,16 November 2018,,,,,,,,,,,,,,,,,,,,,,
miley cyrus songs list in hannah montana the movie,"""Dream""","""The Climb""","""Hoedown Throwdown""","""Butterfly Fly Away""",,,,,,,,,,,,,,,,,,,
when did the first version of baby its cold outside come out,1949,1944,,,,,,,,,,,,,,,,,,,,,
where to get an australian driver's license,Australian state or territory,,,,,,,,,,,,,,,,,,,,,,
who is the voice of kris kringle in santa claus is coming to town,Mickey Rooney,,,,,,,,,,,,,,,,,,,,,,
when does the russian orthodox church celebrate christmas,7 January,,,,,,,,,,,,,,,,,,,,,,
for the election of president of india a citizen should have completed the age of,35,,,,,,,,,,,,,,,,,,,,,,
when did the new england textile industry become successfully mechanized,mid-18th century,,,,,,,,,,,,,,,,,,,,,,
who has scored the most points in the nba history,Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,
who did shane warne dismiss with the bold dubbed by the media as the ball of century,Mike Gatting,Gatting,,,,,,,,,,,,,,,,,,,,,
when does the house of flowers season 2 start,in 2019,2019,,,,,,,,,,,,,,,,,,,,,
when did boise state win the national championship,1980 D-I AA,1980,1958 JC,1958,,,,,,,,,,,,,,,,,,,
who said to each according to his need,Karl Marx,,,,,,,,,,,,,,,,,,,,,,
who is the killer in agatha christie's crooked house,Josephine,Miss de Haviland,,,,,,,,,,,,,,,,,,,,,
when do you file motion for summary judgment,before trial,,,,,,,,,,,,,,,,,,,,,,
​which is the longest surviving and most successful space telescope,Spitzer Space Telescope,,,,,,,,,,,,,,,,,,,,,,
when was the last time brewers were in the playoffs,2018,,,,,,,,,,,,,,,,,,,,,,
what is the governor general of canada responsibilities,Julie Payette,,,,,,,,,,,,,,,,,,,,,,
where was the decisive battle of the third carnatic war fought between the french and the english,Wandiwash,southern India,Battle of Wandiwash,,,,,,,,,,,,,,,,,,,,
manjeet chillar and anup kumar represent india in which sport,kabaddi,,,,,,,,,,,,,,,,,,,,,,
what does pdt stand for in time zones,Pacific Daylight Time,"""Pacific Daylight Time""",,,,,,,,,,,,,,,,,,,,,
where does most of our garlic come from,China,,,,,,,,,,,,,,,,,,,,,,
where was bad times at the el royale filmed,"Vancouver, British Columbia",Burnaby,,,,,,,,,,,,,,,,,,,,,
when was the last time the brewers played in the world series,1982,,,,,,,,,,,,,,,,,,,,,,
how many goals does kane have in the premier league,122,160,,,,,,,,,,,,,,,,,,,,,
what do they do in the client list,unspecified erotic services,massages,,,,,,,,,,,,,,,,,,,,,
how old is jeannie from i dream of jeannie,87,,,,,,,,,,,,,,,,,,,,,,
how much does it cost to build a space suit,"$12,000,000","USD$12,000,000",,,,,,,,,,,,,,,,,,,,,
who does nick foles play for this year,Philadelphia Eagles,,,,,,,,,,,,,,,,,,,,,,
who did represent italy in the paris peace conference,Vittorio Emanuele Orlando,,,,,,,,,,,,,,,,,,,,,,
tim tebow's record as a starter for broncos,8–5,,,,,,,,,,,,,,,,,,,,,,
who starred in a 1959 american epic religious drama film ben-hur,Jack Hawkins,Sam Jaffe,Hugh Griffith,Stephen Boyd,Martha Scott,Haya Harareet,Charlton Heston,Cathy O'Donnell,,,,,,,,,,,,,,,
who is the woman in the cube on itv,Colin McFarlane,,,,,,,,,,,,,,,,,,,,,,
when is the new ace combat coming out,"February 1, 2019","January 18, 2019",,,,,,,,,,,,,,,,,,,,,
who is the girl in the girl all the bad guys want,Lindy Christopher,,,,,,,,,,,,,,,,,,,,,,
when did they start showing movies on planes,After the Second World War,the 1960s,1921,,,,,,,,,,,,,,,,,,,,
a gini coefficient score of 0 for a country indicates what,everyone has the same income,,,,,,,,,,,,,,,,,,,,,,
how many students are there in the us,81.5 million,,,,,,,,,,,,,,,,,,,,,,
who played jason in the movie friday the 13th,Ari Lehman,,,,,,,,,,,,,,,,,,,,,,
what is the largest piece of gold ever found,Welcome Stranger,the Welcome Stranger,,,,,,,,,,,,,,,,,,,,,
where do shakhtar donetsk play their home games,Kharkiv,the Metalist Stadium in Kharkiv,Metalist Stadium in Kharkiv,,,,,,,,,,,,,,,,,,,,
under 19 world cup 2016 highest run scorer,Jack Burnham,Eoin Morgan,Hasitha Boyagoda,Daniel Lawrence,,,,,,,,,,,,,,,,,,,
how are the member of legislative assembly elected,by the people,,,,,,,,,,,,,,,,,,,,,,
what are the liquid layers of the earth,outer core,,,,,,,,,,,,,,,,,,,,,,
who went home on holiday baking championship season 4,Pablo,Andra,Aveed Dai,Amy Strickland,Stephany Buswell,Aristo,Amy,Steve Konopelski & Adalberto Diaz,Aristo Camburako,Bill Lipscomb & Naylet Larochelle,Aveed,Andra Chisholm,Pablo Sanchez,Ian Barthley,Joshua Livsey,Ian,,,,,,,
who plays henry viii in the other boleyn girl,Eric Bana,,,,,,,,,,,,,,,,,,,,,,
when does the new season of mortal instruments start,"February 25, 2019",,,,,,,,,,,,,,,,,,,,,,
who said but for my own part it was greek to me,Servilius Casca,,,,,,,,,,,,,,,,,,,,,,
the great rift valley is what type of plate boundary,divergent plate boundary,divergent,,,,,,,,,,,,,,,,,,,,,
when did dallas cowboys last won a playoff game,2017,2018,,,,,,,,,,,,,,,,,,,,,
the barbie doll was first introduced in 1959. what is barbie's last name,Roberts,,,,,,,,,,,,,,,,,,,,,,
where does county sticker go on ohio license plate,the bottom left corner,at the bottom left corner,,,,,,,,,,,,,,,,,,,,,
when did the first episode of pokemon air,"September 8, 1998","April 1, 1997","on April 1, 1997",,,,,,,,,,,,,,,,,,,,
when did the california wildfire start in 2018,mid-July,mid-July to August 2018,,,,,,,,,,,,,,,,,,,,,
when was tom brady picked in the draft,2000,the sixth round,,,,,,,,,,,,,,,,,,,,,
where does the last name borg come from,Nordic countries,,,,,,,,,,,,,,,,,,,,,,
the season when it rains a lot in southern asia,East Asian monsoon,Monsoon,summer,,,,,,,,,,,,,,,,,,,,
what is the first rank of ias officer,sub-divisional magistrate (SDM),,,,,,,,,,,,,,,,,,,,,,
song in breaking dawn part 2 when bella and edward make love,Fire in the Water,,,,,,,,,,,,,,,,,,,,,,
when did john abbott die on young and the restless,2006,"August 18, 2006","on August 18, 2006",,,,,,,,,,,,,,,,,,,,
dionne warwick that's what friends are for singers,Gladys Knight,Stevie Wonder,Elton John,Dionne Warwick,,,,,,,,,,,,,,,,,,,
where does the nile river end and begin,SourceWhite Nile,MouthMediterranean Sea,,,,,,,,,,,,,,,,,,,,,
when does the 5th season of the flash start,"October 9, 2018",,,,,,,,,,,,,,,,,,,,,,
which place in the uk is furthest from the sea,Coton in the Elms,,,,,,,,,,,,,,,,,,,,,,
law that restored trade with great britain and france,Macon's Bill Number 2,,,,,,,,,,,,,,,,,,,,,,
who has the most followers in instagram in india,Priyanka Chopra,,,,,,,,,,,,,,,,,,,,,,
when did the 737-800 come out,1990s,"November 17, 1993","July 31, 1997",,,,,,,,,,,,,,,,,,,,
who was the quarterback that won the superbowl,Nick Foles,,,,,,,,,,,,,,,,,,,,,,
where does the last name schmidt originate from,German,,,,,,,,,,,,,,,,,,,,,,
how many episodes of handmaid's tale are there in season 2,23,13,,,,,,,,,,,,,,,,,,,,,
all india institute of medical science thoppur tamil nadu,AIIMS Madurai,,,,,,,,,,,,,,,,,,,,,,
when was nepal divided into 7 provinces in nepali date,20 September 2015,,,,,,,,,,,,,,,,,,,,,,
how much land is covered by forest in india,23.8%,70.68 million hectares,,,,,,,,,,,,,,,,,,,,,
who is the president of france married to,Brigitte Trogneux,,,,,,,,,,,,,,,,,,,,,,
guy playing guitar on stairs in animal house,Earl Stephen Bishop,,,,,,,,,,,,,,,,,,,,,,
when is season 2 episode 7 of dynasty coming out,"November 30, 2018",,,,,,,,,,,,,,,,,,,,,,
the goal of sherman antitrust act was to,regulates competition among enterprises,,,,,,,,,,,,,,,,,,,,,,
how many countries were part of the ussr,15,fifteen,,,,,,,,,,,,,,,,,,,,,
who plays the eldest daughter in the sound of music,Charmian Carr,,,,,,,,,,,,,,,,,,,,,,
earthquakes that have happened in the last 5 years,2016 Ecuador earthquake,2014 Iquique earthquake,2015 Illapel earthquake,2017 Chiapas earthquake,2013 Okhotsk Sea earthquake,,,,,,,,,,,,,,,,,,
when was in god we trust added to paper money,1957,,,,,,,,,,,,,,,,,,,,,,
when was the capital of assam established in dispur,1973,,,,,,,,,,,,,,,,,,,,,,
who established supremacy over punjab after gupta dynasty,Harsha,,,,,,,,,,,,,,,,,,,,,,
what is lady liberty holding in her hand,torch,tabula ansata,a torch,,,,,,,,,,,,,,,,,,,,
the cast of beauty and the beast tv series,Jay Ryan as Vincent Keller,Amber Skye Noyes,Sendhil Ramamurthy,Kristin Kreuk as Catherine Chandler,Nicole Gale Anderson,Austin Basis as J.T. Forbes,Kristin Kreuk,Nina Lisandrello as Tess Vargas,Jay Ryan,Michael Roark,Brian White,Austin Basis,Max Brown,Nina Lisandrello,,,,,,,,,
who is randalls mother on this is us,Rebecca Pearson,Laurel,Mandy Moore,,,,,,,,,,,,,,,,,,,,
who is dinah in i've been working on the railroad,an enslaved African woman,,,,,,,,,,,,,,,,,,,,,,
who wrote the gospel song wade in the water,Unknown,,,,,,,,,,,,,,,,,,,,,,
who voiced rolf in ed edd and eddy,Peter Kelamis,,,,,,,,,,,,,,,,,,,,,,
who played ernest t on the andy griffith show,Howard Jerome Morris,,,,,,,,,,,,,,,,,,,,,,
who is the voice of v for vendetta,Hugo Weaving,,,,,,,,,,,,,,,,,,,,,,
when was the first bank of the united states,"February 25, 1791",,,,,,,,,,,,,,,,,,,,,,
when did season 2 of designated survivor start,"September 27, 2017",,,,,,,,,,,,,,,,,,,,,,
mrs oleson little house on the prairie actress,"Katherine ""Scottie"" MacGregor",,,,,,,,,,,,,,,,,,,,,,
who wrote i dont want a lot for christmas,Mariah Carey,Walter Afanasieff,,,,,,,,,,,,,,,,,,,,,
cast of scorpion king 2 rise of a warrior,Pierre Marais,Jeremy Crutchley,Simon Quarterman,Shane Manie,Karen David,Natalie Becker,Tom Wu,Andreas Wisniewski,Randy Couture,Michael Copon,,,,,,,,,,,,,
which parts of africa did portugal control in the 1880s,Angola,Mozambique,,,,,,,,,,,,,,,,,,,,,
top ten most abundant elements in the human body,Phosphorus,Calcium,Sodium,Oxygen,Potassium,Chlorine,Hydrogen,Carbon,Sulfur,Nitrogen,,,,,,,,,,,,,
the only takie film directed by dada saheb phalke,Gangavataran (1937),Gangavataran,,,,,,,,,,,,,,,,,,,,,
who won the british bake off last year,Sophie Faldo,,,,,,,,,,,,,,,,,,,,,,
who played donna martin's mom on 90210,Katherine Cannon,,,,,,,,,,,,,,,,,,,,,,
who sings i don't know why i love you like i do,Fred E. Ahlert,Roy Turk,,,,,,,,,,,,,,,,,,,,,
godzilla king of the monsters 2nd trailer release date,"December 9, 2018",,,,,,,,,,,,,,,,,,,,,,
who sang the theme song for dog the bounty hunter,Ozzy Osbourne,,,,,,,,,,,,,,,,,,,,,,
when was the movie age of consent made,began in March 1968,1969,Filming began in March 1968,,,,,,,,,,,,,,,,,,,,
who sang the original wherever i lay my hat,Marvin Gaye,,,,,,,,,,,,,,,,,,,,,,
where did micheal jordan go to high school,Emsley A. Laney High School,"Wilmington, North Carolina",Emsley A. Laney,,,,,,,,,,,,,,,,,,,,
how to address the king of spain in spanish,Señor,SM El Rey,Majestad,,,,,,,,,,,,,,,,,,,,
where do the contestants drop on ellen's game of games,below the stage,,,,,,,,,,,,,,,,,,,,,,
where do they kick off in college football,35-yard line,,,,,,,,,,,,,,,,,,,,,,
who is the entertainment for the nrl 2018,Gang of Youths,,,,,,,,,,,,,,,,,,,,,,
when does episode 5 of the flash come out,"November 13, 2018",,,,,,,,,,,,,,,,,,,,,,
who has the best playoff record in nba history,Los Angeles Lakers,The Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,,
which country has gifted statue of liberty to america,France,,,,,,,,,,,,,,,,,,,,,,
who was the original singer of jeremiah was a bullfrog,the band Three Dog Night,Three Dog Night,,,,,,,,,,,,,,,,,,,,,
what is the meaning of high school in usa,secondary education,,,,,,,,,,,,,,,,,,,,,,
what is the number one chemical produced in usa,sulfuric acid,,,,,,,,,,,,,,,,,,,,,,
where was the first place the ghost of christmas past took scrooge,his old boarding school,boarding school,,,,,,,,,,,,,,,,,,,,,
who plays the mayor of whoville in the grinch,Jeffrey Tambor,,,,,,,,,,,,,,,,,,,,,,
who does lily james play on downton abbey,Lady Rose MacClare,,,,,,,,,,,,,,,,,,,,,,
list of us presidents that have been assassinated,John F. Kennedy,James A. Garfield,Abraham Lincoln,William McKinley,,,,,,,,,,,,,,,,,,,
who won the mayoral election in london ontario,Ed Holder,,,,,,,,,,,,,,,,,,,,,,
when is season 3 of trollhunters coming out,"May 25, 2018","May 25, 2018",,,,,,,,,,,,,,,,,,,,,
who played young selena in the movie selena,Rebecca Lee Meza,,,,,,,,,,,,,,,,,,,,,,
primary philosophical treatise written in verse of daoism,The Tao Te Ching,Tao Te Ching,,,,,,,,,,,,,,,,,,,,,
who is elena with at the end of season 8,Damon,,,,,,,,,,,,,,,,,,,,,,
where did the plains of abraham take place,Quebec City,,,,,,,,,,,,,,,,,,,,,,
what is charlie's surname in charlie and the chocolate factory,Bucket,,,,,,,,,,,,,,,,,,,,,,
when did ice hockey become an olympic sport,1920,,,,,,,,,,,,,,,,,,,,,,
who played the roll of the man with the golden gun,Christopher Lee,assassin Francisco Scaramanga,,,,,,,,,,,,,,,,,,,,,
who is the first chief minister of haryana,B. D. Sharma,,,,,,,,,,,,,,,,,,,,,,
poker hand that three of a kind beats,High card,Straight**,One pair,Two pair,,,,,,,,,,,,,,,,,,,
when did sparta and athens go to war,431–404 BC,,,,,,,,,,,,,,,,,,,,,,
who were the first european to conquer america,Spain,,,,,,,,,,,,,,,,,,,,,,
how old was harry in prisoner of azkaban,13,,,,,,,,,,,,,,,,,,,,,,
example of fallacy of argument against the person,Ad hominem,,,,,,,,,,,,,,,,,,,,,,
